Single Phase Analysis Version 11.0: Basic Format
Source File: D:\20241209$IHNY$25 AActrl$25pys 0.01$25pys 0.03$25pys 0.05.uvc
Operator: 
Sample ID: 	1000
Bar Code: 	1000
File Comments: 	New File
Lower Area Filter: 	5.0
Upper Area Filter: 	2000.0
(*)Gauge Force Correction To Strain Axis:	NO
(#)Compliance (mm/N): 	0.0000
RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH	
13	2824.9	3.0570e+001	4.946e-001	5.353e+009	0.000e+000	6.525e-003	2.617e-001	2.362e+001	8.505e-001	5.539e+001	1.986e-005	51.881	5.636e-001	1.995e+002	
14	4450.4	3.0080e+001	7.273e-001	4.916e+009	3.924e-007	1.112e-002	2.660e-001	1.587e+001	8.311e-001	4.387e+001	2.284e-005	56.483	9.065e-001	2.037e+002	
15	3711.8	3.0220e+001	6.337e-001	5.159e+009	0.000e+000	6.826e-003	2.316e-001	2.101e+001	8.273e-001	5.167e+001	2.442e-005	45.367	6.603e-001	1.779e+002	
16	2677.6	3.0170e+001	5.157e-001	5.811e+009	2.624e-007	6.982e-003	2.320e-001	1.887e+001	8.286e-001	5.478e+001	1.816e-005	57.773	5.509e-001	2.057e+002	
17	4441.9	3.0040e+001	8.049e-001	5.443e+009	2.453e-009	8.557e-003	2.330e-001	1.745e+001	8.322e-001	4.925e+001	2.652e-005	45.439	8.481e-001	1.909e+002	
18	2813.8	3.0310e+001	5.125e-001	5.521e+009	3.164e-007	5.768e-003	2.969e-001	2.388e+001	8.578e-001	5.561e+001	1.882e-005	48.565	5.151e-001	1.830e+002	
19	3558.7	3.0220e+001	4.429e-001	3.761e+009	0.000e+000	7.934e-003	2.316e-001	1.558e+001	8.273e-001	3.846e+001	1.643e-005	51.721	7.059e-001	1.984e+002	
20	4853.7	3.0370e+001	8.074e-001	5.052e+009	0.000e+000	5.864e-003	2.305e-001	1.657e+001	8.561e-001	4.770e+001	2.961e-005	32.532	7.201e-001	1.484e+002	
21	3010.6	3.0420e+001	5.287e-001	5.342e+009	0.000e+000	5.894e-003	2.301e-001	2.069e+001	8.547e-001	5.426e+001	2.159e-005	45.562	5.847e-001	1.942e+002	
22	3877.9	3.0510e+001	6.947e-001	5.466e+009	2.281e-007	6.649e-003	2.950e-001	2.112e+001	8.522e-001	5.186e+001	2.442e-005	44.379	6.269e-001	1.617e+002	
23	2620.2	3.0000e+001	4.901e-001	5.612e+009	1.962e-008	6.642e-003	2.333e-001	1.910e+001	8.333e-001	5.204e+001	1.674e-005	54.400	5.749e-001	2.194e+002	
24	4697.4	3.0100e+001	7.758e-001	4.971e+009	2.453e-008	8.631e-003	2.326e-001	1.546e+001	8.306e-001	4.522e+001	2.588e-005	43.223	9.134e-001	1.944e+002	
25	2899.9	2.9970e+001	3.134e-003	3.239e+007	0.000e+000	8.253e-003	2.002e-001	1.319e+001	8.342e-001	1.370e+001	7.397e-006	58.425	6.426e-001	2.216e+002	
26	3859.3	3.0190e+001	6.086e-001	4.761e+009	0.000e+000	8.488e-003	2.650e-001	2.072e+001	8.281e-001	4.766e+001	2.228e-005	51.507	7.672e-001	1.988e+002	
27	3421.3	3.0160e+001	6.184e-001	5.451e+009	2.870e-007	7.030e-003	2.653e-001	2.151e+001	8.621e-001	5.477e+001	2.391e-005	45.855	7.044e-001	2.059e+002	
28	2807.8	3.0140e+001	4.870e-001	5.228e+009	1.324e-007	5.141e-003	2.654e-001	2.009e+001	8.295e-001	4.997e+001	1.665e-005	43.995	5.165e-001	1.840e+002	
29	4084.9	3.0170e+001	6.796e-001	5.019e+009	2.968e-007	7.701e-003	2.320e-001	1.573e+001	8.286e-001	4.599e+001	2.345e-005	46.768	7.260e-001	1.777e+002	
30	3527.0	3.0080e+001	6.323e-001	5.392e+009	3.017e-007	6.305e-003	2.660e-001	1.850e+001	8.311e-001	4.896e+001	2.063e-005	43.318	6.333e-001	1.796e+002	
31	2976.7	3.0090e+001	5.014e-001	5.068e+009	7.603e-008	3.793e-003	2.659e-001	1.994e+001	8.641e-001	5.125e+001	1.937e-005	35.892	3.929e-001	1.320e+002	
32	3894.0	3.0140e+001	5.880e-001	4.551e+009	1.423e-007	8.896e-003	2.322e-001	1.600e+001	8.626e-001	4.497e+001	2.286e-005	53.152	7.711e-001	1.980e+002	
33	2237.6	3.0170e+001	3.674e-001	4.953e+009	0.000e+000	4.729e-003	2.320e-001	2.126e+001	8.286e-001	5.086e+001	1.495e-005	50.050	4.336e-001	1.938e+002	
34	4805.9	3.0220e+001	8.693e-001	5.466e+009	1.962e-008	4.054e-003	2.316e-001	1.756e+001	8.934e-001	5.328e+001	3.441e-005	22.965	6.813e-001	1.418e+002	
35	3709.0	3.0310e+001	6.270e-001	5.124e+009	0.000e+000	7.940e-003	2.639e-001	2.050e+001	8.578e-001	5.012e+001	2.347e-005	47.806	7.618e-001	2.054e+002	
36	3118.1	3.0170e+001	5.119e-001	4.953e+009	1.079e-007	4.499e-003	2.320e-001	1.589e+001	8.286e-001	4.499e+001	1.706e-005	37.521	5.082e-001	1.630e+002	
37	3343.3	3.0140e+001	5.916e-001	5.333e+009	0.000e+000	8.632e-003	2.654e-001	2.113e+001	8.626e-001	5.253e+001	2.261e-005	56.569	7.186e-001	2.149e+002	
38	3584.2	3.0200e+001	6.253e-001	5.269e+009	0.000e+000	8.976e-003	2.318e-001	1.943e+001	8.609e-001	5.338e+001	2.444e-005	56.457	7.083e-001	1.976e+002	
39	4571.7	3.0060e+001	8.851e-001	5.820e+009	5.886e-008	9.642e-003	2.329e-001	1.770e+001	8.317e-001	5.343e+001	2.985e-005	51.763	8.064e-001	1.764e+002	
40	2888.9	3.0090e+001	5.152e-001	5.366e+009	2.060e-007	6.182e-003	2.659e-001	2.038e+001	8.641e-001	5.281e+001	1.931e-005	48.122	5.945e-001	2.058e+002	
41	4383.5	3.0220e+001	6.991e-001	4.819e+009	1.128e-007	1.012e-002	2.316e-001	1.388e+001	8.934e-001	4.532e+001	2.594e-005	53.077	8.614e-001	1.965e+002	
42	3491.3	3.0100e+001	6.046e-001	5.212e+009	7.603e-008	8.228e-003	2.326e-001	1.883e+001	8.306e-001	5.030e+001	2.202e-005	51.561	7.343e-001	2.103e+002	
43	4806.0	3.0080e+001	8.297e-001	5.193e+009	0.000e+000	1.045e-002	2.327e-001	1.735e+001	8.311e-001	4.777e+001	2.824e-005	51.629	8.928e-001	1.858e+002	
44	5004.3	3.0130e+001	8.636e-001	5.199e+009	6.132e-008	1.317e-002	2.323e-001	1.637e+001	8.629e-001	4.901e+001	3.081e-005	57.783	1.057e+000	2.112e+002	
45	3401.6	3.0240e+001	6.069e-001	5.395e+009	0.000e+000	7.021e-003	2.315e-001	2.206e+001	8.267e-001	5.422e+001	2.320e-005	52.050	5.877e-001	1.728e+002	
46	2821.6	3.0270e+001	5.207e-001	5.586e+009	9.811e-009	6.338e-003	2.643e-001	2.364e+001	8.920e-001	5.859e+001	2.198e-005	50.908	5.430e-001	1.925e+002	
47	4475.0	3.0260e+001	7.179e-001	4.855e+009	0.000e+000	1.045e-002	2.313e-001	1.798e+001	8.262e-001	4.746e+001	2.617e-005	55.750	8.413e-001	1.880e+002	
48	4085.2	3.0110e+001	6.845e-001	5.045e+009	4.660e-007	1.152e-002	2.657e-001	1.657e+001	8.635e-001	4.743e+001	2.373e-005	61.010	8.908e-001	2.181e+002	
49	2770.5	3.0200e+001	4.770e-001	5.200e+009	0.000e+000	5.901e-003	2.318e-001	2.089e+001	8.609e-001	5.365e+001	1.960e-005	48.907	5.533e-001	1.997e+002	
50	4334.5	3.0170e+001	7.096e-001	4.939e+009	3.238e-007	9.459e-003	2.320e-001	1.652e+001	8.286e-001	4.674e+001	2.505e-005	50.249	8.668e-001	2.000e+002	
51	4853.2	3.0270e+001	8.699e-001	5.426e+009	-4.905e-009	1.020e-002	2.643e-001	2.072e+001	8.259e-001	5.074e+001	2.986e-005	48.761	9.448e-001	1.947e+002	
52	4641.2	3.0140e+001	7.387e-001	4.797e+009	4.415e-008	7.164e-003	2.654e-001	1.670e+001	8.626e-001	4.534e+001	2.625e-005	40.511	7.250e-001	1.562e+002	
53	5527.8	3.0250e+001	8.347e-001	4.568e+009	1.815e-007	1.126e-002	2.645e-001	1.686e+001	8.595e-001	4.464e+001	3.050e-005	50.975	9.801e-001	1.773e+002	
54	4363.3	3.0250e+001	6.931e-001	4.805e+009	2.747e-007	9.720e-003	2.645e-001	1.765e+001	8.595e-001	4.677e+001	2.526e-005	54.678	8.162e-001	1.871e+002	
55	3838.8	3.0270e+001	7.310e-001	5.764e+009	2.109e-007	7.974e-003	2.643e-001	1.815e+001	8.920e-001	5.418e+001	2.649e-005	48.001	7.412e-001	1.931e+002	
56	2686.4	3.0250e+001	4.388e-001	4.942e+009	2.894e-007	4.363e-003	2.645e-001	1.826e+001	8.926e-001	4.875e+001	1.701e-005	44.826	4.027e-001	1.499e+002	
57	3714.0	3.0160e+001	5.449e-001	4.425e+009	0.000e+000	8.646e-003	2.321e-001	1.677e+001	8.621e-001	4.438e+001	2.162e-005	54.145	7.417e-001	1.997e+002	
58	5680.6	3.0240e+001	9.113e-001	4.851e+009	1.545e-007	1.329e-002	2.315e-001	1.442e+001	8.267e-001	4.318e+001	2.959e-005	53.175	1.158e+000	2.039e+002	
59	2625.1	3.0330e+001	4.521e-001	5.223e+009	1.324e-007	5.392e-003	2.308e-001	2.186e+001	8.902e-001	5.624e+001	2.095e-005	50.775	4.724e-001	1.799e+002	
60	2346.6	3.0170e+001	3.913e-001	5.031e+009	1.275e-007	3.847e-003	2.320e-001	2.028e+001	8.286e-001	5.059e+001	1.503e-005	41.399	4.052e-001	1.727e+002	
61	4903.3	3.0250e+001	8.134e-001	5.018e+009	0.000e+000	1.048e-002	2.645e-001	1.721e+001	8.926e-001	4.842e+001	3.087e-005	50.413	9.428e-001	1.923e+002	
62	2398.2	3.0130e+001	4.609e-001	5.790e+009	0.000e+000	1.848e-003	2.323e-001	2.373e+001	8.629e-001	6.014e+001	1.904e-005	20.611	3.247e-001	1.354e+002	
63	3099.2	3.0200e+001	5.021e-001	4.893e+009	0.000e+000	5.977e-003	2.318e-001	1.994e+001	8.609e-001	5.081e+001	2.082e-005	47.980	5.533e-001	1.785e+002	
64	3994.2	3.0440e+001	6.242e-001	4.757e+009	9.222e-007	7.555e-003	2.300e-001	6.632e+000	8.870e-001	3.623e+001	1.572e-005	47.011	6.956e-001	1.741e+002	
65	5039.4	3.0330e+001	8.383e-001	5.045e+009	2.894e-007	1.136e-002	2.308e-001	1.480e+001	8.902e-001	4.809e+001	3.228e-005	54.435	9.050e-001	1.796e+002	
66	2399.9	3.0260e+001	4.676e-001	5.896e+009	1.472e-008	6.139e-003	2.644e-001	2.371e+001	8.592e-001	5.846e+001	1.809e-005	55.783	5.043e-001	2.101e+002	
67	3070.6	3.0030e+001	5.417e-001	5.298e+009	0.000e+000	5.092e-003	2.331e-001	2.029e+001	8.658e-001	5.336e+001	2.159e-005	40.626	5.700e-001	1.856e+002	
68	2342.9	3.0420e+001	4.376e-001	5.682e+009	0.000e+000	6.649e-003	2.301e-001	2.324e+001	8.547e-001	5.841e+001	1.829e-005	59.172	5.200e-001	2.219e+002	
69	3791.4	3.0220e+001	6.449e-001	5.140e+009	0.000e+000	5.345e-003	2.316e-001	1.902e+001	8.934e-001	5.279e+001	2.743e-005	37.624	5.926e-001	1.563e+002	
70	2849.2	3.0350e+001	5.140e-001	5.475e+009	1.251e-007	6.294e-003	2.306e-001	1.894e+001	8.237e-001	5.096e+001	1.804e-005	49.555	5.823e-001	2.044e+002	
71	3030.2	3.0270e+001	5.208e-001	5.203e+009	0.000e+000	4.336e-003	2.643e-001	2.169e+001	8.920e-001	5.374e+001	2.160e-005	37.033	4.989e-001	1.646e+002	
72	4132.2	3.0330e+001	7.458e-001	5.474e+009	2.060e-007	9.519e-003	2.308e-001	1.947e+001	8.902e-001	5.520e+001	3.162e-005	54.435	8.059e-001	1.950e+002	
73	2649.7	3.0440e+001	4.672e-001	5.368e+009	0.000e+000	6.947e-003	2.300e-001	2.555e+001	8.870e-001	6.035e+001	2.287e-005	55.420	5.886e-001	2.222e+002	
74	3435.8	3.0190e+001	6.535e-001	5.742e+009	4.390e-007	8.302e-003	2.981e-001	2.170e+001	8.281e-001	5.340e+001	2.099e-005	53.031	7.206e-001	2.097e+002	
75	4940.8	3.0200e+001	8.281e-001	5.062e+009	3.434e-008	6.355e-003	2.318e-001	1.708e+001	8.609e-001	4.914e+001	3.046e-005	35.232	7.333e-001	1.484e+002	
76	3901.0	3.0350e+001	7.004e-001	5.449e+009	1.545e-007	8.807e-003	2.306e-001	1.760e+001	8.237e-001	5.005e+001	2.392e-005	49.160	8.202e-001	2.102e+002	
77	3573.8	3.0210e+001	6.496e-001	5.491e+009	2.355e-007	6.562e-003	2.648e-001	1.771e+001	8.275e-001	4.914e+001	2.032e-005	46.375	6.122e-001	1.713e+002	
78	4132.9	3.0470e+001	7.312e-001	5.391e+009	0.000e+000	7.573e-003	2.297e-001	1.982e+001	8.861e-001	5.472e+001	3.090e-005	45.881	7.196e-001	1.741e+002	
79	5715.4	3.0630e+001	9.980e-001	5.349e+009	5.175e-007	1.317e-002	2.612e-001	1.837e+001	8.488e-001	4.987e+001	3.516e-005	52.367	1.142e+000	1.999e+002	
80	3174.1	3.0290e+001	5.340e-001	5.096e+009	0.000e+000	7.364e-003	2.641e-001	2.071e+001	8.254e-001	4.976e+001	1.873e-005	55.398	5.911e-001	1.862e+002	
81	2046.9	3.0240e+001	3.254e-001	4.807e+009	0.000e+000	3.952e-003	2.315e-001	2.157e+001	8.267e-001	5.080e+001	1.342e-005	46.429	3.924e-001	1.917e+002	
82	5975.0	3.0090e+001	9.871e-001	4.971e+009	4.145e-007	1.099e-002	2.326e-001	1.543e+001	8.641e-001	4.745e+001	3.607e-005	44.433	1.121e+000	1.877e+002	
83	2721.5	3.0390e+001	5.047e-001	5.636e+009	7.358e-009	6.617e-003	2.303e-001	2.235e+001	8.555e-001	5.822e+001	2.061e-005	54.327	5.371e-001	1.974e+002	
84	3857.6	3.0250e+001	6.179e-001	4.845e+009	9.320e-008	7.142e-003	2.645e-001	1.895e+001	8.595e-001	4.857e+001	2.340e-005	45.421	7.201e-001	1.867e+002	
85	5572.9	3.0320e+001	9.614e-001	5.230e+009	1.815e-007	9.708e-003	2.639e-001	1.699e+001	8.245e-001	4.709e+001	2.998e-005	46.636	8.810e-001	1.581e+002	
86	4546.6	3.0680e+001	8.049e-001	5.431e+009	0.000e+000	8.391e-003	2.934e-001	2.277e+001	9.126e-001	5.567e+001	3.463e-005	44.329	8.104e-001	1.782e+002	
87	3834.8	3.0270e+001	6.668e-001	5.263e+009	6.377e-008	9.070e-003	2.643e-001	1.855e+001	8.259e-001	4.720e+001	2.151e-005	53.023	8.030e-001	2.094e+002	
88	3483.8	3.0220e+001	5.859e-001	5.082e+009	2.453e-008	7.543e-003	2.316e-001	1.788e+001	8.934e-001	5.153e+001	2.420e-005	49.206	7.137e-001	2.049e+002	
89	4214.8	3.0270e+001	7.274e-001	5.224e+009	-1.472e-008	8.592e-003	2.643e-001	1.909e+001	8.259e-001	4.842e+001	2.441e-005	48.959	7.667e-001	1.819e+002	
90	3434.8	3.0600e+001	6.003e-001	5.347e+009	0.000e+000	7.242e-003	2.614e-001	2.214e+001	8.497e-001	5.355e+001	2.349e-005	47.549	6.858e-001	1.996e+002	
91	6157.7	3.0440e+001	9.603e-001	4.747e+009	9.541e-007	1.171e-002	2.628e-001	1.012e+001	8.870e-001	3.967e+001	2.957e-005	49.113	1.074e+000	1.744e+002	
92	4155.0	3.0440e+001	6.771e-001	4.961e+009	0.000e+000	9.265e-003	2.300e-001	1.653e+001	8.870e-001	4.840e+001	2.688e-005	50.033	8.373e-001	2.015e+002	
93	4752.3	3.0070e+001	7.143e-001	4.519e+009	0.000e+000	1.204e-002	2.328e-001	1.517e+001	8.646e-001	4.387e+001	2.673e-005	56.535	1.022e+000	2.151e+002	
94	2921.9	3.0520e+001	5.055e-001	5.280e+009	0.000e+000	6.813e-003	2.621e-001	2.451e+001	8.191e-001	5.456e+001	1.984e-005	51.016	6.137e-001	2.100e+002	
95	3771.1	3.0350e+001	7.232e-001	5.820e+009	3.164e-007	8.026e-003	2.306e-001	1.873e+001	8.237e-001	5.346e+001	2.504e-005	50.313	6.980e-001	1.851e+002	
96	2665.7	3.0150e+001	4.623e-001	5.229e+009	4.905e-009	6.583e-003	2.322e-001	1.895e+001	8.955e-001	5.281e+001	1.945e-005	55.755	5.450e-001	2.044e+002	
97	4433.4	3.0140e+001	8.225e-001	5.592e+009	1.079e-007	9.519e-003	2.654e-001	1.936e+001	8.295e-001	5.101e+001	2.649e-005	51.924	8.319e-001	1.877e+002	
98	3215.5	3.0110e+001	6.015e-001	5.632e+009	1.643e-007	6.272e-003	2.657e-001	2.075e+001	8.635e-001	5.507e+001	2.219e-005	47.061	5.984e-001	1.861e+002	
99	4302.7	3.0240e+001	7.795e-001	5.478e+009	1.324e-007	7.980e-003	2.315e-001	1.790e+001	8.267e-001	5.005e+001	2.651e-005	45.271	7.839e-001	1.822e+002	
100	5844.5	3.0060e+001	9.230e-001	4.747e+009	0.000e+000	1.078e-002	2.329e-001	1.561e+001	8.317e-001	4.406e+001	3.170e-005	47.272	1.016e+000	1.738e+002	
Note 1: Columns marked (*) are affected if gauge force correction is applied
Note 2: Columns marked (#) are affected if the compliance factor is > 0
